num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.025,EQ,H1,3,mixmodel,0.8227
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.025,EQ,H1,3,mixmodel_cal,0.2281
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,stepwise,0.025,EQ,H1,3,sepmodel,0.822
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,stepwise,0.025,EQ,H1,2,fixmodel,0.8496
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,stepwise,0.025,EQ,H1,2,fixmodel_cal,0.85
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,stepwise,0.025,EQ,H1,2,mixmodel,0.8228
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,stepwise,0.025,EQ,H1,2,mixmodel_cal,0.4816
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,stepwise,0.025,EQ,H1,2,sepmodel,0.8288
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,stepwise,0.025,EQ,H1,3,fixmodel,0.8538
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,stepwise,0.025,EQ,H1,3,fixmodel_cal,0.8539
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,stepwise,0.025,EQ,H1,3,mixmodel,0.8131
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,stepwise,0.025,EQ,H1,3,mixmodel_cal,0.2004
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,stepwise,0.025,EQ,H1,3,sepmodel,0.8288
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.025,EQ,H1,2,fixmodel,0.8516
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.025,EQ,H1,2,fixmodel_cal,0.8514
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.025,EQ,H1,2,mixmodel,0.8017
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.025,EQ,H1,2,mixmodel_cal,0.6903
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.025,EQ,H1,2,sepmodel,0.825
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.025,EQ,H1,3,fixmodel,0.8505
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.025,EQ,H1,3,fixmodel_cal,0.8501
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.025,EQ,H1,3,mixmodel,0.7669
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.025,EQ,H1,3,mixmodel_cal,0.4529
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,stepwise,0.025,EQ,H1,3,sepmodel,0.8262
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,stepwise,0.025,EQ,H1,2,fixmodel,0.8488
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,stepwise,0.025,EQ,H1,2,fixmodel_cal,0.8491
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,stepwise,0.025,EQ,H1,2,mixmodel,0.8819
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,stepwise,0.025,EQ,H1,2,mixmodel_cal,0.887
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,stepwise,0.025,EQ,H1,2,sepmodel,0.8269
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,stepwise,0.025,EQ,H1,3,fixmodel,0.8582
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,stepwise,0.025,EQ,H1,3,fixmodel_cal,0.8582
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,stepwise,0.025,EQ,H1,3,mixmodel,0.9154
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,stepwise,0.025,EQ,H1,3,mixmodel_cal,0.9222
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,stepwise,0.025,EQ,H1,3,sepmodel,0.8302
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H1,2,fixmodel,0.8472
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H1,2,fixmodel_cal,0.8472
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H1,2,mixmodel,0.8945
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H1,2,mixmodel_cal,0.9721
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H1,2,sepmodel,0.821
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H1,3,fixmodel,0.8531
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H1,3,fixmodel_cal,0.8527
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H1,3,mixmodel,0.9157
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H1,3,mixmodel_cal,0.9968
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,stepwise,0.025,EQ,H1,3,sepmodel,0.8245
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,stepwise,0.025,EQ,H1,2,fixmodel,0.847
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,stepwise,0.025,EQ,H1,2,fixmodel_cal,0.8467
